Latitude,Longitude,Motorista,Cidade,Nota,Contrato
2.42958,-60.9005,Motorista 55,Mucajaí,9,3
-16.9763307970958,-40.2414352380254,Motorista 56,Vereda,8,3
-3.20593714714041,-45.0032186508166,Motorista 57,Viana,7,2
-27.6032888889305,-48.5755133628831,Motorista 58,Florianópolis,5,1
-1.52132749557491,-45.0787067413317,Motorista 59,Apicum-Açu,8,1
-6.72136902809124,-36.0591888427724,Motorista 60,Barra de Santa Rosa,9,2
-22.6262998580926,-43.1733083724963,Motorista 61,Magé,6,3
-22.7592301368707,-48.5763716697679,Motorista 62,São Manuel,2,3
-18.1669020652766,-42.7656126022326,Motorista 63,Frei Lagonegro,8,2
-3.13397884368887,-42.902727127074,Motorista 64,Barreirinhas,7,1
-16.692583,-49.09966,Motorista 65,Senador Canedo,5,1
-8.7501704692838,-43.9433598518359,Motorista 66,Cristino Castro,4,2
-18.067746162414,-41.4275979995716,Motorista 67,Frei Gaspar,6,3
-19.032922983169,-46.154530048369,Motorista 68,Arapuá,9,3
-3.62546,-39.5083,Motorista 69,Uruburetama,8,2
-11.9096624851223,-39.1988968849171,Motorista 70,Candeal,5,1
-2.10640311241144,-47.9291224479661,Motorista 71,São Domingos do Capim,4,2
-21.0925805568689,-46.2122941017137,Motorista 72,Conceição da Aparecida,5,3
-9.35214400291416,-40.519058704375,Motorista 73,Petrolina,9,2
-7.244710922241,-41.804094314574,Motorista 74,Wall Ferraz,8,1
-16.076871156692,-48.0761075019822,Motorista 75,Novo Gama,5,2
-10.9135973453519,-38.8758945465077,Motorista 76,Tucano,6,3
-15.669282674789,-44.164910316466,Motorista 77,Ibiracatu,8,2
-6.30997180938702,-40.6741762161243,Motorista 78,Parambu,5,1
-21.9954121112817,-51.0257220268235,Motorista 79,Martinópolis,2,2
-15.2436375617977,-39.3521904945362,Motorista 80,Arataca,6,3
-23805,-53684,Motorista 81,Pérola,9,2
-3.98187875747669,-42.6234126090991,Motorista 82,Nossa Senhora dos Remédios,8,1
-20.694208145141,-44.832565784453,Motorista 83,Oliveira,6,2
-20.565440654754,-43.6177611351001,Motorista 84,Ouro Branco,9,3
-19.9206161499018,-43.4672570228564,Motorista 85,Barão de Cocais,8,3
-1.20216608047482,-47.1905493736253,Motorista 86,Capanema,7,3
-32015,-52042,Motorista 87,São José do Norte,4,2
-3.26680183410635,-45.6519699096666,Motorista 88,Zé Doca,5,1
-20.2026236057276,-41.8972635269153,Motorista 89,Reduto,6,2
-21.8402731418603,-48.4956908225999,Motorista 90,Gavião Peixoto,9,3
-25.4409027099602,-49.4568443298325,Motorista 91,Campo Largo,8,2
-1.32707118988033,-48.4151601791368,Motorista 92,Ananindeua,5,1
-21.0572504997247,-49.0636110305772,Motorista 93,Catiguá,6,2
-20.4712092876428,-45.8038258552538,Motorista 94,Pimenta,9,3
-3.27142596244803,-45.6540513038622,Motorista 95,Zé Doca,8,2
-22.6115477085107,-45.1848149299609,Motorista 96,Piquete,5,1
-1.75238370895381,-47.692615985869,Motorista 97,São Domingos do Capim,6,2
-9.64348554611178,-36.4851021766652,Motorista 98,Taquarana,6,3
-22.6819825172418,-43.6115384101855,Motorista 99,Japeri,6,1
-0.160138607025142,-50.3851461410508,Motorista 100,Afuá,6,2
-15.5325758457179,-42.3053455352771,Motorista 101,Indaiabira,8,3
-3.70877623558034,-45.5678558349596,Motorista 102,Tufilândia,7,1
-29.1615235805503,-51.6349482536301,Motorista 103,Monte Belo do Sul,5,2
-14.8792755603786,-40.8806204795826,Motorista 104,Vitória da Conquista,8,3
-9.16759729385349,-35.2934718132009,Motorista 105,Porto de Pedras,4,3
-29.8921787738791,-52.388670444487,Motorista 106,Rio Pardo,5,2
-23.3706879615777,-51.1568498611435,Motorista 107,Londrina,8,1
-4.43477511405932,-41.4530467987049,Motorista 108,Pedro II,5,1
-22.0664155483239,-51.4175176620468,Motorista 109,Álvares Machado,9,2
-11.908514499664,-41.7018699645984,Motorista 110,Barro Alto,8,3
-26.23,-51086,Motorista 111,União da Vitória,7,3
-10.4247486591336,-48.8966703414903,Motorista 112,Pugmil,5,2
-22.2737610340112,-46.9452667236314,Motorista 113,Estiva Gerbi,8,1
-8.88655543327306,-36.4651894569386,Motorista 114,Garanhuns,9,1
-26.775076389312,-51.0322451591477,Motorista 115,Caçador,6,2
-26.4063262939445,-50.7344770431504,Motorista 116,Irineópolis,2,3
-21.8880701065057,-51.7288470268234,Motorista 117,Piquerobi,8,3
-3.12981605529776,-60.0306487083418,Motorista 118,Manaus,7,2
-29.4220626354209,-49.8792600631699,Motorista 119,Três Cachoeiras,5,1
-27.7738988399498,-54.2405748367294,Motorista 120,Três de Maio,4,2
-25.4932487010948,-49.3495130538926,Motorista 121,Curitiba,6,3
-1.52498602867122,-46.8969011306749,Motorista 122,Santa Luzia do Pará,9,2
-23.4356296062463,-46.5616679191576,Motorista 123,Guarulhos,8,1
-21.9455552101129,-41.9662070274341,Motorista 124,Santa Maria Madalena,5,2
-23.090139627456,-45.1918959617602,Motorista 125,Lagoinha,4,3
-20.4286372661585,-54.6381640434249,Motorista 126,Campo Grande,5,2
0.84882259368894,-50.6621003150925,Motorista 127,Macapá,9,1
-3.04898500442496,-60.0016593933088,Motorista 128,Manaus,8,2
-25616,-53128,Motorista 129,Cruzeiro do Iguaçu,5,3
-20.3643071651453,-41.6084647178638,Motorista 130,Irupi,6,2
-16.7204082012172,-49.4339060783372,Motorista 131,Abadia de Goiás,8,1
-7.83520460128761,-35.7507562637319,Motorista 132,Surubim,5,2
-20.4510819911951,-53.76700401306,Motorista 133,Ribas do Rio Pardo,2,3
-15.1677739620204,-58.8621068000776,Motorista 134,Jauru,6,3
-5.39449095725998,-50.1163029670701,Motorista 135,Itupiranga,9,3
-20.5500233173364,-54.6517467498763,Motorista 136,Campo Grande,8,2
-20.1816165447229,-49.7005605697617,Motorista 137,Pontes Gestal,6,1
-19.8095941543573,-44.0064668655383,Motorista 138,Ribeirão das Neves,9,2
-10.9689688682553,-37.0820760726918,Motorista 139,Aracaju,8,3
-8.15812110900855,-70.3494715690592,Motorista 140,Feijó,7,2
-13.8490605354305,-40.0897550582874,Motorista 141,Jequié,4,1
-5.07280826568589,-37.9895424842823,Motorista 142,Quixeré,5,2
-27.7885973453514,-50.293157100676,Motorista 143,Lages,6,3
-20.7282936573023,-40.7785463333118,Motorista 144,Anchieta,9,2
-7.30880498886087,-38.1404972076405,Motorista 145,Itaporanga,8,1
-23.4171330928796,-51.4141702651963,Motorista 146,Arapongas,5,2
-10004,-36024,Motorista 147,Jequiá da Praia,6,1
-13.4543458708136,-39.4238602549016,Motorista 148,Presidente Tancredo Neves,9,2
-19.8221898078913,-43.1370234489428,Motorista 149,João Monlevade,8,3
-20764,-41533,Motorista 150,Alegre,5,1
-28.3111345767967,-53.5034179687485,Motorista 151,Panambi,6,2
-3.12445163726798,-59.999899864195,Motorista 152,Manaus,6,3
-29.2403912544242,-51.0206151008591,Motorista 153,Caxias do Sul,6,3
-13.8836932182308,-41.7095088958728,Motorista 154,Dom Basílio,6,2
-20443,-54646,Motorista 155,Campo Grande,8,1
-2.00996160507196,-54.3528628349288,Motorista 156,Monte Alegre,7,1
-27.717937231063,-52.620820999144,Motorista 157,Campinas do Sul,5,2
-5.12997150421128,-38.0572414398182,Motorista 158,Limoeiro do Norte,8,3
-7.37665414810159,-38.7692928314198,Motorista 159,Mauriti,4,3
-23.0575883388513,-46.7561602592455,Motorista 160,Itatiba,5,2
-23.5522413253777,-46.8091821670519,Motorista 161,Osasco,8,1
-22.5611865520471,-44.9463343620287,Motorista 162,Cruzeiro,5,1
-23.1496310234063,-47.0522975921617,Motorista 163,Itupeva,9,2
-13.0737020285614,-44.1393469792846,Motorista 164,Canápolis,8,3
-5.3610491752623,-42.6782369613635,Motorista 165,Demerval Lobão,7,3
-9.14112925529453,-41.9346857070911,Motorista 166,Dom Inocêncio,5,2
-23.6931002140038,-54.5639419555648,Motorista 167,Iguatemi,8,1
-4.65360045433031,-38.9427137374867,Motorista 168,Itapiúna,9,2
-6.78318858146648,-35.8165454864492,Motorista 169,Casserengue,6,3
-29.2171311378471,-51.3317084312424,Motorista 170,Farroupilha,2,2
-29.4901156425468,-51.3571357727036,Motorista 171,Bom Princípio,8,1
-23.6287915706628,-50.0261163711533,Motorista 172,Tomazina,7,2
-22.5620877742761,-47.1594357490526,Motorista 173,Artur Nogueira,5,3
-22.7903115749353,-43.3738088607776,Motorista 174,São João de Meriti,4,2
-21.1377060413354,-44.2634654045092,Motorista 175,São João del Rei,6,1
-10.6329524517056,-37.0755314826955,Motorista 176,Rosário do Catete,9,2
-9.28607583045932,-40.5065703392017,Motorista 177,Petrolina,8,3
-27.5596761703483,-53.1806945800766,Motorista 178,Novo Tiradentes,5,2
-21.1950409412378,-43.6404848098742,Motorista 179,Barbacena,4,1
-5.02723217010483,-42.4546909332263,Motorista 180,Altos,5,2
0.805134773254371,-51.9796657562241,Motorista 181,Pedra Branca do Amapari,9,3
-8.838458061218,-69.259614944456,Motorista 182,Manoel Urbano,8,3
-21.3601362705225,-46.1398959159838,Motorista 183,Areado,5,3
-15.464329719543,-47.6136946678148,Motorista 184,Planaltina,6,2
-23.1955504417413,-52.494757175444,Motorista 185,Tamboara,8,1
-23.6302399635308,-46.443586349486,Motorista 186,São Paulo,5,2
-28.2813942432395,-49.151823520659,Motorista 187,Braço do Norte,2,3
-20.3143537044519,-43.5780858993518,Motorista 188,Ouro Preto,6,2
-22.748125791549,-50.5790162086472,Motorista 189,Tarumã,9,1
-24.516023397445,-54.1201758384689,Motorista 190,Marechal Cândido Rondon,8,2
-14.5311141014095,-49.1406226158128,Motorista 191,Uruaçu,6,3
-26.7997097969047,-52.6245975494369,Motorista 192,Marema,9,2
-21.1861038208002,-44.9138259887682,Motorista 193,Ijaci,8,1
-7.95101165771461,-35.3869843482961,Motorista 194,Feira Nova,7,2
-25195,-51993,Motorista 195,Goioxim,4,3
-23.5162889957421,-46.4271068572985,Motorista 196,São Paulo,5,1
-23.4727621078484,-53.0853366851791,Motorista 197,Nova Olímpia,6,2
-10.6634438037869,-68.4896492958049,Motorista 198,Xapuri,9,3
-12.4975437594966,-41.294421850872,Motorista 199,Lençóis,8,1
-8.63339781761144,-36.9262719154347,Motorista 200,Pedra,5,2
-5.13404846191391,-38.240189552306,Motorista 201,Morada Nova,6,3
-14.6638083457943,-57.3600482940657,Motorista 202,Tangará da Serra,9,3
-24714,-53743,Motorista 203,Toledo,8,2
-7.09524750709513,-34.8646831512441,Motorista 204,João Pessoa,5,1
-14.7722768783565,-39.2649006843555,Motorista 205,Itabuna,6,1
-28.8148534297935,-52.4847364425644,Motorista 206,Soledade,6,2
-14.9245941638942,-42.8122615814197,Motorista 207,Espinosa,6,3
-12.7432394027706,-38.6147117614735,Motorista 208,Madre de Deus,6,3
-27.4073803424827,-52.0388674736008,Motorista 209,Marcelino Ramos,8,2
-8.03947091102577,-34.950213432311,Motorista 210,Recife,7,1
-3.37677240371694,-40.6239223480213,Motorista 211,Moraújo,5,1
-12.4372100830075,-38.9486789703358,Motorista 212,São Gonçalo dos Campos,8,2
-8.34254980087256,-36.4097642898549,Motorista 213,Belo Jardim,4,3
-26721,-48933,Motorista 214,Luiz Alves,5,3
-7.13000893592814,-34.9594402313222,Motorista 215,Santa Rita,8,2
-19.8602449893946,-43.8628935813891,Motorista 216,Sabará,5,1
-1.60285592079158,-47.6125788688646,Motorista 217,São Miguel do Guamá,9,2
-7.59902000427224,-72.683401107786,Motorista 218,Cruzeiro do Sul,8,3
-22.7723407745355,-43.6612558364855,Motorista 219,Seropédica,7,2
-22.8574204444879,-43.6737871170031,Motorista 220,Seropédica,5,1
-8.3900141716001,-48.4854769706712,Motorista 221,Brasilândia do Tocantins,8,2
-21.6794586181634,-42.185740470885,Motorista 222,Aperibé,9,3
-25.9441387653343,-49.4025564193711,Motorista 223,Quitandinha,6,2
-31.3021731376639,-54.0797066688522,Motorista 224,Bagé,2,1
-22.4785530567163,-43.6519861221301,Motorista 225,Engenheiro Paulo de Frontin,8,2
-7.8699982166288,-38.7584996223438,Motorista 226,São José do Belmonte,7,3
-16.63482427597,-49.5164966583238,Motorista 227,Trindade,5,2
-22.7251660823815,-44.128882884978,Motorista 228,Rio Claro,4,1
-19.9513542652124,-44.3449187278735,Motorista 229,Juatuba,6,2
-6.2362325191496,-42.6742458343494,Motorista 230,Regeneração,9,3
-9.48923707008334,-44.5853090286242,Motorista 231,Redenção do Gurguéia,8,3
3.84697437286366,-51.8279814720139,Motorista 232,Oiapoque,5,3
-4.39225673675524,-44.9960732460009,Motorista 233,Bom Lugar,4,2
-8.96359920501683,-37.3775053024281,Motorista 234,Itaíba,5,1
-20.0087749958033,-42.0021700859058,Motorista 235,Simonésia,9,2
-5.14823198318467,-38.099169731139,Motorista 236,Limoeiro do Norte,8,3
-5.21690726280197,-35.6192207336415,Motorista 237,Touros,5,2
-5.29773831367477,-36.7614769935597,Motorista 238,Alto do Rodrigues,6,1
-25.2387392520897,-49.1853618621812,Motorista 239,Colombo,8,2
-23.8527560234063,-46.7152404785143,Motorista 240,São Paulo,5,3
-23.8416624069207,-46.7371273040758,Motorista 241,São Paulo,2,2
-12.9727775236596,-39.2739974309191,Motorista 242,Santo Antônio de Jesus,6,1
-2.65264034271233,-43.610186576842,Motorista 243,Humberto de Campos,9,2
-6.85364484786967,-45.1665329933153,Motorista 244,Loreto,8,3
-3.67161154746999,-45.6333875656115,Motorista 245,Tufilândia,6,1
-16.3166499137874,-48.9672446250901,Motorista 246,Anápolis,9,2
-7.7877616882322,-41.1300444602954,Motorista 247,Jacobina do Piauí,8,3
-2.91189193725577,-41.7582821845996,Motorista 248,Parnaíba,7,1
-20101,-40.53,Motorista 249,Santa Leopoldina,4,2
-10.6657183170316,-39.7476983070362,Motorista 250,Itiúba,5,3
-7.49462842941262,-35.8381533622731,Motorista 251,Gado Bravo,6,3
-26.2610793113701,-49.5353794097886,Motorista 252,Rio Negrinho,9,2
-6.66637301444988,-36.2900519371022,Motorista 253,Picuí,8,1
-19519,-41016,Motorista 254,Baixo Guandu,5,1
-7.26160883903482,-64.7922778129559,Motorista 255,Lábrea,6,2
-2.9506015777587,-45.6639003753649,Motorista 256,Araguanã,9,3
-21.6154289245599,-55.1695847511275,Motorista 257,Maracaju,8,3
-22.9463303089135,-45.4576706886278,Motorista 258,Pindamonhangaba,5,2
-7.52759814262368,-46.062304973601,Motorista 259,Balsas,6,1
-5.11015534400925,-49.984273910521,Motorista 260,Itupiranga,6,1
-3.95006775856007,-38.4828114509571,Motorista 261,Aquiraz,6,2
-12.2757089138027,-38.9778399467457,Motorista 262,Feira de Santana,6,3
-13.0312696592111,-39.5966094286216,Motorista 263,Amargosa,8,3
-11.6172587871548,-37.5350260734547,Motorista 264,Jandaíra,7,2
-16.0115647315974,-48.0734467506395,Motorista 265,Brasília,5,1
-16.4309871196742,-39.0863943099964,Motorista 266,Porto Seguro,8,2
-14.9584758281703,-49.5405292510972,Motorista 267,Itapaci,4,3
-2.10140347480768,-56.4944243431075,Motorista 268,Terra Santa,5,2
-21.1248743534082,-47.8244948387132,Motorista 269,Ribeirão Preto,8,1
-11.3039982318875,-41.8379974365222,Motorista 270,Irecê,5,2
-13.2594488643109,-39.5676762721429,Motorista 271,Jiquiriçá,9,3
-23.8370168209069,-51.5668845176682,Motorista 272,Novo Itacolomi,8,2
-21.8237400054925,-46.9012999534593,Motorista 273,Vargem Grande do Sul,7,1
-20.235121250152,-43.8023185729968,Motorista 274,Itabirito,5,2
-18.3367609977717,-41.0029077529895,Motorista 275,Ecoporanga,8,3
-14.0775096416469,-48.9683604240403,Motorista 276,Campinorte,9,2
-15.5576062202449,-49.9497699737534,Motorista 277,Itapuranga,6,1
-5.21630644798264,-37.4985051155079,Motorista 278,Mossoró,2,2
-13.1090596730754,-39.1072887299307,Motorista 279,Aratuípe,8,3
-5.62810063362105,-63.1892824172955,Motorista 280,Tapauá,7,3
-22.9325759410851,-53.1296682357773,Motorista 281,Loanda,5,3
-7.08371400833109,-35.2283906936635,Motorista 282,Sapé,4,2
-4.09384489059436,-39.2440438270557,Motorista 283,Paramoti,6,1
-3.89649868011463,-59.0905237197859,Motorista 284,Nova Olinda do Norte,9,2
-17.777595520019,-50.9283900260911,Motorista 285,Rio Verde,8,3
-3.75833272933949,-38.6174798011769,Motorista 286,Caucaia,5,2
-25.2011239528649,-54.1421270370468,Motorista 287,Medianeira,4,1
0.359190702438344,-51.1245989799485,Motorista 288,Macapá,5,2
-23.1924498081201,-46.6767668724046,Motorista 289,Jarinu,9,3
-14.840812683105,-41.3951539993274,Motorista 290,Tremedal,8,2
-22.8622698783868,-47.0371913909898,Motorista 291,Campinas,5,1
-22.8637826442712,-47.153384685515,Motorista 292,Campinas,6,2
-7.88870930671669,-37.1206784248341,Motorista 293,Monteiro,8,3
-30.0002503395072,-51.1037850379929,Motorista 294,Porto Alegre,5,1
-6.66865825653057,-69.8663091659526,Motorista 295,Eirunepé,2,2
-12.8706382058428,-39.8575280952069,Motorista 296,Milagres,6,3
-2.0509779453277,-47.5559949874864,Motorista 297,Mãe do Rio,9,1
-7.78071284294106,-39.9351739883411,Motorista 298,Bodocó,8,2
-1.3718748092651,-48.2460951805101,Motorista 299,Benevides,6,3
-22.9481005668633,-47.0244026184068,Motorista 300,Campinas,9,3
-12.5411725044247,-49.926638603209,Motorista 301,Sandolândia,8,2
-27.3926067352287,-51.6990208625778,Motorista 302,Capinzal,7,1
-7.0461094379423,-41.5373754501331,Motorista 303,Picos,4,1
-6.39642477035504,-41.9757986068713,Motorista 304,Novo Oriente do Piauí,5,2
-7.25753188133219,-39.4501018524158,Motorista 305,Crato,6,3
-2.85011529922477,-41.8093299865711,Motorista 306,Ilha Grande,9,3
-25881,-52908,Motorista 307,Verê,8,2
-7.90425539016701,-35.9911251068105,Motorista 308,Vertentes,5,1
-23.1363487243646,-55.2125215530379,Motorista 309,Amambaí,6,1
-6.41389131546002,-35.1792955398549,Motorista 310,Canguaretama,9,2
-29.2021429538718,-54.8626327514633,Motorista 311,Santiago,8,3
-29.3499863147727,-50.7956957817063,Motorista 312,Canela,5,3
-6.03811383247358,-37.9109430313099,Motorista 313,Martins,6,2
-7.92886734008766,-37.5855374336232,Motorista 314,Custódia,6,1
-20.8470296859735,-43.2506203651416,Motorista 315,Brás Pires,6,2
-19.8702549934381,-41.2396073341358,Motorista 316,Aimorés,6,3
-7576,-40498,Motorista 317,Araripina,8,2
-1.60738348960872,-48.6549067497239,Motorista 318,Barcarena,7,1
-13.0489575862881,-39.4567322731007,Motorista 319,São Miguel das Matas,5,2
-16.3883721828456,-40.2551293373096,Motorista 320,Jacinto,8,3
-17.7360212802882,-39.2638707160938,Motorista 321,Caravelas,4,2
-27.3996663093559,-48.6024641990647,Motorista 322,Governador Celso Ramos,5,1
-5.77415227889998,-43.0762553215014,Motorista 323,Palmeirais,8,2
-28.2324385642997,-48.7029504775987,Motorista 324,Imbituba,5,3
-4.47299122810351,-41.5915346145618,Motorista 325,Pedro II,9,2
-23.7716138362878,-46.7127513885484,Motorista 326,São Paulo,8,1
-29.4768977165214,-52.1756386756882,Motorista 327,Venâncio Aires,7,2
-7.67605304717995,-40.0816440582264,Motorista 328,Bodocó,5,3
-13.5465180873867,-52.2650742530808,Motorista 329,Canarana,8,3
-6.81771397590617,-35.6426095962514,Motorista 330,Serraria,9,3
-18.3869183063502,-46.0371351242052,Motorista 331,Varjão de Minas,6,2
-22.8382802009576,-47.9237794876085,Motorista 332,Piracicaba,2,1
-28.2512676715843,-52.3874258995041,Motorista 333,Passo Fundo,8,2
-20.6801426410669,-43.7848091125475,Motorista 334,Conselheiro Lafaiete,7,3
-7.39822983741739,-35.1140427589406,Motorista 335,Pedras de Fogo,5,2
-6.9737434387205,-41.2870717048633,Motorista 336,Santo Antônio de Lisboa,4,1
-22.532712221145,-44.1256856918322,Motorista 337,Volta Redonda,6,2
-29.6253311634055,-50.9638810157761,Motorista 338,Sapiranga,9,3
-8.81076693534825,-35.2007532119741,Motorista 339,Barreiros,8,2
-27.6738524436943,-53.3134961128219,Motorista 340,Boa Vista das Missões,5,1
-14.2852306365963,-49.3903255462632,Motorista 341,Nova Iguaçu de Goiás,4,2
-3.97390723228443,-40.7593202590931,Motorista 342,Graça,5,3
-22839,-42103,Motorista 343,São Pedro da Aldeia,9,1
-9.96227145194978,-36.4349341392507,Motorista 344,Teotônio Vilela,8,2
-10.556477308273,-55.9448933601363,Motorista 345,Nova Canaã do Norte,5,3
-24.3698215484612,-50.8092999458298,Motorista 346,Ortigueira,6,1
-19.8782694339746,-44.0261864662158,Motorista 347,Contagem,8,2
-23.0005002021783,-45.5296182632433,Motorista 348,Taubaté,5,3
-9.95206832885713,-54.9019217491134,Motorista 349,Guarantã do Norte,2,3
-22.4502503871911,-45.16809940338,Motorista 350,Marmelópolis,6,2
-25.5534803867333,-49.3910980224595,Motorista 351,Araucária,9,1
-11.136585474014,-58.6135196685774,Motorista 352,Castanheira,8,1
-10.5080580711362,-45.0532793998705,Motorista 353,Corrente,6,2
-19.7492444515223,-43.9522862434374,Motorista 354,Vespasiano,9,3
-3.12910795211783,-42.1848177909839,Motorista 355,Araioses,8,3
-7.94496059417702,-34.9024271965017,Motorista 356,Paulista,7,2
-10.5839109420773,-38.6121368408192,Motorista 357,Banzaê,4,1
-15.4217469692226,-47.6214194297777,Motorista 358,Planaltina,5,1
-21.9986844062799,-51.5663480758652,Motorista 359,Presidente Bernardes,6,2
-19.9212491512293,-43.9948368072497,Motorista 360,Belo Horizonte,9,3
-2.56481409072869,-44.3331599235522,Motorista 361,São Luís,8,3
-8.31706881523108,-35.0874352455129,Motorista 362,Cabo de Santo Agostinho,5,2
-5.88162302970869,-35.2334117889394,Motorista 363,Parnamirim,6,1
-18.524494171142,-53.1492161750778,Motorista 364,Costa Rica,9,2
-8.13230752944923,-36.3013172149648,Motorista 365,Brejo da Madre de Deus,8,3
-1.91552639007563,-51.0968756675705,Motorista 366,Portel,5,2
-23.6686170101159,-54.5597362518295,Motorista 367,Iguatemi,6,1
-18.948100805282,-48.3184075355516,Motorista 368,Uberlândia,6,2
-25535,-49206,Motorista 369,São José dos Pinhais,6,3
-20.683404207229,-41.8832731246936,Motorista 370,Caiana,6,2
-20.1443767547602,-42.2982215881335,Motorista 371,Caputira,8,1
-28.5215163230888,-49.3223476409898,Motorista 372,Urussanga,7,2
-3.08080673217764,-60.0441884994489,Motorista 373,Manaus,5,3
-9.25038099288914,-38.1595516204823,Motorista 374,Jatobá,8,2
-15.6437802314754,-43.3037710189807,Motorista 375,Janaúba,4,1
-9.83501672744722,-35.9817266464223,Motorista 376,Roteiro,5,2
-7.65508890151955,-35.3239202499379,Motorista 377,Vicência,8,3
-19.0697658061976,-51.5498256683335,Motorista 378,Itajá,5,3
-24.9507451057427,-50.1142215728745,Motorista 379,Carambeí,9,3
-19.1653704643244,-41.7367815971362,Motorista 380,Itanhomi,8,2
-19.9728119373316,-47.7721381187425,Motorista 381,Delta,7,1
-19.2286705970759,-43.252315521239,Motorista 382,Santo Antônio do Rio Abaixo,5,2
-6.67728424072246,-36.4185619354237,Motorista 383,Nova Palmeira,8,3
-25.2925,-49.2244,Motorista 384,Colombo,9,2
-26.3173627853386,-48.8048529624925,Motorista 385,Joinville,6,1
-20.9008133411401,-49.2704844474778,Motorista 386,Cedral,2,2
-28.646003007888,-49.4299578666673,Motorista 387,Criciúma,8,3
-16.9629979133601,-50.4273104667649,Motorista 388,Paraúna,7,2
-20.3663456439966,-43.7141275405871,Motorista 389,Ouro Preto,5,1
-18.9898252487177,-49.1790747642503,Motorista 390,Prata,4,2
-29.2999899387351,-52.4241185188278,Motorista 391,Boqueirão do Leão,6,3
-11.7468202114102,-44.9126887321459,Motorista 392,Riachão das Neves,9,1
